year,city,quantidade_registros,area_ha_total
2020,SANTA TEREZINHA,18,84.8619
2020,SAO BONIFACIO,4,7.1573
2020,SAO DOMINGOS,3,10.6989
2020,SAO FRANCISCO DO SUL,8,29.3694
2020,SAO JOAO DO ITAPERIU,2,8.7722
2020,SAO JOAO DO SUL,1,2.4647
2020,SAO JOAQUIM,2,5.9922
2020,SAO JOSE,1,3.0174
2020,SAO JOSE DO CERRITO,15,68.1811
2020,SAO LOURENCO DO OESTE,1,2.9922
2020,SAO MARTINHO,1,4.0885
2020,SIDEROPOLIS,1,3.9746
2020,TAIO,4,29.3431
2020,TANGARA,2,3.9881
2020,TIMBE DO SUL,1,2.0911
2020,TRES BARRAS,1,2.7769
2020,URUBICI,3,19.5557
2020,URUSSANGA,2,8.6453
2020,VARGEAO,2,26.5171
2020,VARGEM,2,11.7143
2020,VIDAL RAMOS,2,3.9957
2020,VITOR MEIRELES,4,9.2545
2020,WITMARSUM,1,2.0368
2021,ABDON BATISTA,1,1.2661
2021,ABELARDO LUZ,1,1.9382
2021,AGROLANDIA,1,7.3263
2021,AGRONOMICA,1,1.4584
2021,AGUA DOCE,1,16.74
2021,AGUAS FRIAS,1,1.7972
2021,AGUAS MORNAS,2,6.8469
2021,ALFREDO WAGNER,6,16.9812
2021,ANCHIETA,1,1.8071
2021,ANGELINA,3,5.1663
2021,ANITA GARIBALDI,4,13.865
2021,ARAQUARI,10,60.915
2021,ARMAZEM,2,2.0419
2021,BALNEARIO PICARRAS,1,1.7128
2021,BELA VISTA DO TOLDO,9,18.8215
2021,BIGUACU,1,2.7407
2021,BLUMENAU,2,5.3621
2021,BOCAINA DO SUL,1,4.743
2021,BOM JARDIM DA SERRA,1,3.4291
2021,BOM RETIRO,7,40.8549
2021,BRACO DO NORTE,1,2.1704
2021,BRACO DO TROMBUDO,1,3.5933
2021,BRUNOPOLIS,3,40.5628
2021,BRUSQUE,6,28.1864
2021,CACADOR,6,19.1508
2021,CALMON,4,10.2141
2021,CAMBORIU,1,1.8145
2021,CAMPO ALEGRE,3,22.9494
2021,CAMPO BELO DO SUL,4,10.5215
2021,CAMPO ERE,1,1.7364
2021,CAMPOS NOVOS,3,8.0627
2021,CANOINHAS,22,46.2428
2021,CATANDUVAS,1,2.8637
2021,CELSO RAMOS,1,2.1724
2021,CERRO NEGRO,2,3.1503
2021,CONCORDIA,6,16.5476
2021,CORONEL MARTINS,1,2.7666
2021,CORREIA PINTO,6,33.6382
2021,CRICIUMA,2,14.0475
2021,CUNHATAI,2,7.0797
2021,CURITIBANOS,2,15.6933
